,house_name,total_price,total_price_desc,unit_price,info,location1,area,longitude,dimension,latitude,distance_rg
12818,慧芝湖花园 ,1518.0,万,121440.0,3室2厅 | 125平米 | 南 | 精装 | 低楼层(共31层) | 2011年建 | 板楼,大宁,125,121.45959,31.281698,31.281698,6.071028451434038
12819,世纪花苑 ,1048.0,万,78715.0,3室2厅 | 133.14平米 | 南 北 | 精装 | 中楼层(共9层) | 1999年建 | 板楼,大宁,133.14,121.426464,31.199454,31.199454,5.663475957573544
12820,延长小区(闸北) ,520.0,万,104860.0,2室0厅 | 49.59平米 | 南 | 简装 | 中楼层(共6层) | 1980年建 | 板楼,大宁,49.59,121.455792,31.269181,31.269181,4.856030347753885
12821,洛川中路952弄 ,475.0,万,89102.0,1室1厅 | 53.31平米 | 南 北 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,大宁,53.31,121.450466,31.264602,31.264602,4.6228989080001694
12822,共和新路2203弄 ,378.0,万,88318.0,1室1厅 | 42.8平米 | 南 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,大宁,42.8,121.452902,31.277061,31.277061,5.7724759132121815
12823,柳营路1025弄 ,380.0,万,92683.0,1室1厅 | 41平米 | 南 | 简装 | 低楼层(共6层) | 1988年建 | 板楼,大宁,41,121.451029,31.262327,31.262327,4.378248826543133
12824,中山北路945弄 ,350.0,万,69349.0,2室0厅 | 50.47平米 | 北 | 简装 | 低楼层(共6层) | 1991年建 | 板楼,大宁,50.47,121.453349,31.259298,31.259298,3.9756643833580023
12825,静安府东区 ,1419.0,万,143959.0,3室2厅 | 98.57平米 | 南 | 精装 | 低楼层(共26层) | 2018年建 | 板楼,大宁,98.57,121.473701,31.230416,31.230416,0.22592339628075842
12826,八方小区 ,620.0,万,91164.0,2室1厅 | 68.01平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,大宁,68.01,121.447891,31.271774,31.271774,5.43855645557726
12827,柳营路1025弄 ,390.0,万,91335.0,1室1厅 | 42.7平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,大宁,42.7,121.451029,31.262327,31.262327,4.378248826543133
12828,柳营路1025弄 ,314.0,万,100000.0,1室1厅 | 31.4平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,大宁,31.4,121.451029,31.262327,31.262327,4.378248826543133
12829,广中西路818弄 ,530.0,万,76901.0,2室1厅 | 68.92平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,大宁,68.92,121.435192,31.273887,31.273887,6.290597382622651
12830,歌林春天馨园 ,1212.0,万,106888.0,2室2厅 | 113.39平米 | 南 | 精装 | 低楼层(共11层) | 2003年建 | 板楼,大宁,113.39,121.442604,31.271619,31.271619,5.679876970615963
12831,歌林春天馨园 ,330.0,万,54736.0,1室1厅 | 60.29平米 | 南 | 精装 | 低楼层(共11层) | 2002年建 | 板楼,大宁,60.29,121.442604,31.271619,31.271619,5.679876970615963
12832,泛欧现代大厦 ,255.0,万,67106.0,2室1厅 | 38平米 | 西 | 简装 | 高楼层(共14层) | 2006年建 | 塔楼,大宁,38,121.452761,31.280936,31.280936,6.18060920751443
12833,柳营路1025弄 ,307.4,万,99676.0,1室1厅 | 30.84平米 | 南 | 简装 | 中楼层(共6层) | 1984年建 | 板楼,大宁,30.84,121.451029,31.262327,31.262327,4.378248826543133
